epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,21616.2,1.31651,0.6302,0.94987,0.85128,0.58995,0.67522,0.37165,1.34968,0.60256,0.9794,0.000383925,0.000383925,0.000383925
109,21817.8,1.32458,0.63431,0.94692,0.85132,0.59024,0.6756,0.37174,1.34991,0.60252,0.97941,0.00034227,0.00034227,0.00034227
110,22018.7,1.31909,0.63222,0.94705,0.85114,0.58992,0.67545,0.37179,1.34998,0.60238,0.97947,0.000303842,0.000303842,0.000303842
111,22217.6,1.30064,0.60961,0.94757,0.85174,0.58972,0.67549,0.37178,1.35018,0.60226,0.9795,0.000268667,0.000268667,0.000268667
112,22414.5,1.28602,0.60034,0.9472,0.85107,0.59005,0.6755,0.37168,1.35036,0.60226,0.97953,0.000236769,0.000236769,0.000236769
113,22611.2,1.28602,0.59653,0.94545,0.85121,0.59015,0.67566,0.37176,1.3504,0.60231,0.97956,0.000208169,0.000208169,0.000208169
114,22808.3,1.27764,0.59332,0.94354,0.8516,0.59008,0.67557,0.37184,1.35065,0.6024,0.97958,0.000182888,0.000182888,0.000182888
115,23005,1.27509,0.59099,0.94385,0.85146,0.59,0.67573,0.37191,1.35064,0.60232,0.97955,0.000160943,0.000160943,0.000160943
116,23201.7,1.28279,0.59561,0.94213,0.85132,0.58995,0.6758,0.37206,1.35059,0.6025,0.97955,0.000142348,0.000142348,0.000142348
117,23398.1,1.27641,0.59101,0.94305,0.85125,0.58992,0.67566,0.37203,1.35061,0.60252,0.97947,0.000127117,0.000127117,0.000127117
118,23594.6,1.28082,0.59336,0.94221,0.85084,0.58987,0.67563,0.37192,1.35075,0.60264,0.97954,0.000115259,0.000115259,0.000115259
119,23791.3,1.27845,0.5924,0.94304,0.8507,0.58997,0.67562,0.37192,1.35088,0.60262,0.97951,0.000106784,0.000106784,0.000106784
120,23987.4,1.2745,0.59145,0.94153,0.85036,0.59027,0.67568,0.37188,1.35096,0.6026,0.97955,0.000101696,0.000101696,0.000101696
